"OriginalRelativePath","NewRelativePath","Category","Marker","Extension","SizeBytes","Status","Error"
"DNA配列解析（奥先生）\令和7年度 修士論文_260202 shinohara.docx","01_knowledge_docs__thesis_and_notes__令和7年度 修士論文_260202 shinohara.docx","01_knowledge_docs","general",".docx","52675863","failed","The process cannot access the file because it is being used by another process."
"DNA配列解析（奥先生）\令和7年度 修士論文修正版 260303 shinohara.pdf","01_knowledge_docs__thesis_and_notes__令和7年度 修士論文修正版 260303 shinohara.pdf","01_knowledge_docs","general",".pdf","72629976","moved",""
"DNA配列解析（奥先生）\修士論文発表会スライド_260210.pdf","01_knowledge_docs__thesis_and_notes__修士論文発表会スライド_260210.pdf","01_knowledge_docs","general",".pdf","7211810","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\3_代表配列のリード数と相同性解析結果.xlsx","02_tables__COI__3_代表配列のリード数と相同性解析結果.xlsx","02_tables","COI",".xlsx","59383","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\4_相同性が高い生物種リスト(BLAST結果10位まで).xlsx","02_tables__COI__4_相同性が高い生物種リスト(BLAST結果10位まで).xlsx","02_tables","COI",".xlsx","60631","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\納品データのご説明.html","03_reports__COI__納品データのご説明.html","03_reports","COI",".html","8254","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200721A_S8_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200721A_S8_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","16510052","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200721A_S8_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200721A_S8_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","24550415","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727A_S1_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200727A_S1_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","11658868","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727A_S1_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200727A_S1_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","16789688","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727B_S2_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200727B_S2_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","12257021","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727B_S2_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200727B_S2_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","17909030","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727C-1_S3_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200727C-1_S3_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","8483614","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727C-1_S3_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200727C-1_S3_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","11306119","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727C-2_S4_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200727C-2_S4_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","9470496","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200727C-2_S4_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200727C-2_S4_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","12223786","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200731E_S5_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200731E_S5_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","8955467","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200731E_S5_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200731E_S5_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","12423823","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200731F_S6_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200731F_S6_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","8395855","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200731F_S6_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200731F_S6_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","11644641","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200818A_S7_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200818A_S7_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","7843031","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200818A_S7_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200818A_S7_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","10780139","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200907C_S9_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__200907C_S9_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","15943164","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\200907C_S9_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__200907C_S9_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","23801333","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\201007A-2_S11_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__201007A-2_S11_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","18379228","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\201007A-2_S11_L001_R2_001.fastq.gz","05_raw_reads_fastq__COI__201007A-2_S11_L001_R2_001.fastq.gz","05_raw_reads_fastq","COI",".gz","25949583","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\COI\1_生リード配列\210414Bc_S12_L001_R1_001.fastq.gz","05_raw_reads_fastq__COI__210414Bc_S12_L001_R1_001.fastq.gz","05_raw_reads_fastq","COI",".gz","9294426","moved",""
